HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,Total tested isolates,N,2019,PT,Portugal,90,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,Total tested isolates,N,2020,PT,Portugal,104,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",R - resistant isolates,N,2012,PT,Portugal,108,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",R - resistant isolates,N,2013,PT,Portugal,125,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",R - resistant isolates,N,2014,PT,Portugal,102,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",R - resistant isolates,N,2015,PT,Portugal,136,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",R - resistant isolates,N,2016,PT,Portugal,78,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",R - resistant isolates,N,2017,PT,Portugal,40,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",R - resistant isolates,N,2018,PT,Portugal,27,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",R - resistant isolates,N,2019,PT,Portugal,17,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",R - resistant isolates,N,2020,PT,Portugal,9,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates, percentage  ",%,2012,PT,Portugal,64.28571428,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates, percentage  ",%,2013,PT,Portugal,56.3063063,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates, percentage  ",%,2014,PT,Portugal,39.23076923,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates, percentage  ",%,2015,PT,Portugal,45.03311258,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates, percentage  ",%,2016,PT,Portugal,37.86407766,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates, percentage  ",%,2017,PT,Portugal,24.09638554,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates, percentage  ",%,2018,PT,Portugal,21.95121951,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates, percentage  ",%,2019,PT,Portugal,20.48192771,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates, percentage  ",%,2020,PT,Portugal,8.91089108,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",Total tested isolates,N,2012,PT,Portugal,168,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",Total tested isolates,N,2013,PT,Portugal,222,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",Total tested isolates,N,2014,PT,Portugal,260,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",Total tested isolates,N,2015,PT,Portugal,302,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",Total tested isolates,N,2016,PT,Portugal,206,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",Total tested isolates,N,2017,PT,Portugal,166,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",Total tested isolates,N,2018,PT,Portugal,123,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",Total tested isolates,N,2019,PT,Portugal,83,
Antimicrobial resistance,"Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)",Total tested isolates,N,2020,PT,Portugal,101,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness age,%,2012,PT,Portugal,100,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness age,%,2013,PT,Portugal,99.65301873,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness age,%,2014,PT,Portugal,95.81089168,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness age,%,2015,PT,Portugal,98.40764331,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness age,%,2016,PT,Portugal,99.605367,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness age,%,2017,PT,Portugal,100,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness age,%,2018,PT,Portugal,100,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness age,%,2019,PT,Portugal,99.32088285,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness age,%,2020,PT,Portugal,100,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness gender,%,2012,PT,Portugal,100,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness gender,%,2013,PT,Portugal,100,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness gender,%,2014,PT,Portugal,95.81089168,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness gender,%,2015,PT,Portugal,98.40764331,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness gender,%,2016,PT,Portugal,100,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness gender,%,2017,PT,Portugal,100,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness gender,%,2018,PT,Portugal,99.1646778,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness gender,%,2019,PT,Portugal,100,
Antimicrobial resistance,Acinetobacter spp.|Data quality,Completeness gender,%,2020,PT,Portugal,100,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"I - 'susceptible, increased exposure' isolates ",N,2012,PT,Portugal,1,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"I - 'susceptible, increased exposure' isolates ",N,2013,PT,Portugal,1,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"I - 'susceptible, increased exposure' isolates ",N,2014,PT,Portugal,1,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"I - 'susceptible, increased exposure' isolates ",N,2015,PT,Portugal,2,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"I - 'susceptible, increased exposure' isolates ",N,2016,PT,Portugal,1,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"I - 'susceptible, increased exposure' isolates ",N,2017,PT,Portugal,0,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"I - 'susceptible, increased exposure' isolates ",N,2018,PT,Portugal,1,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"I - 'susceptible, increased exposure' isolates ",N,2019,PT,Portugal,27,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"I - 'susceptible, increased exposure' isolates ",N,2020,PT,Portugal,54,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,R - resistant isolates,N,2012,PT,Portugal,130,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,R - resistant isolates,N,2013,PT,Portugal,155,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,R - resistant isolates,N,2014,PT,Portugal,139,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,R - resistant isolates,N,2015,PT,Portugal,172,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,R - resistant isolates,N,2016,PT,Portugal,104,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,R - resistant isolates,N,2017,PT,Portugal,66,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,R - resistant isolates,N,2018,PT,Portugal,42,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,R - resistant isolates,N,2019,PT,Portugal,23,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,R - resistant isolates,N,2020,PT,Portugal,18,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"R - resistant isolates, percentage  ",%,2012,PT,Portugal,77.38095238,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"R - resistant isolates, percentage  ",%,2013,PT,Portugal,68.88888888,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"R - resistant isolates, percentage  ",%,2014,PT,Portugal,52.65151515,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"R - resistant isolates, percentage  ",%,2015,PT,Portugal,55.84415584,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"R - resistant isolates, percentage  ",%,2016,PT,Portugal,50.48543689,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"R - resistant isolates, percentage  ",%,2017,PT,Portugal,38.37209302,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"R - resistant isolates, percentage  ",%,2018,PT,Portugal,34.14634146,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"R - resistant isolates, percentage  ",%,2019,PT,Portugal,26.13636363,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,"R - resistant isolates, percentage  ",%,2020,PT,Portugal,17.82178217,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,S - susceptible isolates,N,2012,PT,Portugal,37,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,S - susceptible isolates,N,2013,PT,Portugal,69,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,S - susceptible isolates,N,2014,PT,Portugal,124,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,S - susceptible isolates,N,2015,PT,Portugal,134,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,S - susceptible isolates,N,2016,PT,Portugal,101,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,S - susceptible isolates,N,2017,PT,Portugal,106,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,S - susceptible isolates,N,2018,PT,Portugal,80,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,S - susceptible isolates,N,2019,PT,Portugal,38,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,S - susceptible isolates,N,2020,PT,Portugal,29,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,Total tested isolates,N,2012,PT,Portugal,168,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,Total tested isolates,N,2013,PT,Portugal,225,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,Total tested isolates,N,2014,PT,Portugal,264,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,Total tested isolates,N,2015,PT,Portugal,308,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,Total tested isolates,N,2016,PT,Portugal,206,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,Total tested isolates,N,2017,PT,Portugal,172,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,Total tested isolates,N,2018,PT,Portugal,123,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,Total tested isolates,N,2019,PT,Portugal,88,
Antimicrobial resistance,Acinetobacter spp.|Fluoroquinolones,Total tested isolates,N,2020,PT,Portugal,101,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2000,PT,Portugal,0,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2001,PT,Portugal,2,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2002,PT,Portugal,1,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2003,PT,Portugal,8,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2004,PT,Portugal,3,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2005,PT,Portugal,0,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2006,PT,Portugal,1,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2007,PT,Portugal,4,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2008,PT,Portugal,0,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2009,PT,Portugal,0,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2010,PT,Portugal,0,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2011,PT,Portugal,0,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2012,PT,Portugal,0,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2013,PT,Portugal,1,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2014,PT,Portugal,1,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2015,PT,Portugal,2,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2016,PT,Portugal,1,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2017,PT,Portugal,0,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2018,PT,Portugal,2,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2019,PT,Portugal,3,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,"I - 'susceptible, increased exposure' isolates ",N,2020,PT,Portugal,2,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2000,PT,Portugal,0,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2001,PT,Portugal,5,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2002,PT,Portugal,1,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2003,PT,Portugal,5,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2004,PT,Portugal,10,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2005,PT,Portugal,2,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2006,PT,Portugal,4,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2007,PT,Portugal,9,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2008,PT,Portugal,18,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2009,PT,Portugal,30,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2010,PT,Portugal,69,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2011,PT,Portugal,107,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2012,PT,Portugal,49,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2013,PT,Portugal,37,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2014,PT,Portugal,12,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2015,PT,Portugal,22,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2016,PT,Portugal,7,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2017,PT,Portugal,13,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2018,PT,Portugal,24,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2019,PT,Portugal,4,
Antimicrobial resistance,Enterococcus faecalis|Aminopenicillins,R - resistant isolates,N,2020,PT,Portugal,5,
